Age,Gender,Weight (kg),Height (m),Avg_BPM,Session_Duration (hours), Calories_Burned ,Workout_Type,Water_Intake (liters),Workout_Frequency (days/week),BMI
56,Male,88.3,1.71,157,1.69," 1,313 ",Yoga,3.5,4,30.2
46,Female,74.9,1.53,151,1.3, 883 ,HIIT,2.1,4,32
32,Female,68.1,1.66,122,1.11, 677 ,Cardio,2.3,4,24.71
25,Male,53.2,1.7,164,0.59, 532 ,Strength,2.1,3,18.41
38,Male,46.1,1.79,158,0.64, 556 ,Strength,2.8,3,14.39
56,Female,58,1.68,156,1.59," 1,116 ",HIIT,2.7,5,20.55
36,Male,70.3,1.72,169,1.49," 1,385 ",Cardio,2.3,3,23.76
40,Female,69.7,1.51,141,1.27, 895 ,Cardio,1.9,3,30.57
28,Male,121.7,1.94,127,1.03, 719 ,Strength,2.6,4,32.34
28,Male,101.8,1.84,136,1.08, 808 ,Cardio,2.7,3,30.07
41,Male,120.8,1.67,146,0.82, 593 ,HIIT,3,2,43.31
53,Male,51.7,1.7,152,1.15, 865 ,HIIT,3.5,3,17.89
57,Male,112.5,1.61,165,1.24," 1,013 ",Cardio,2.7,3,43.4
41,Male,94.5,2,136,1.18, 794 ,HIIT,3.7,3,23.62
20,Male,117.7,1.81,161,1.35," 1,195 ",Yoga,3.3,3,35.93
39,Female,42.5,1.75,131,1.13, 740 ,Strength,2.1,2,13.88
19,Female,64,1.53,167,1.33," 1,111 ",HIIT,2.3,3,27.34
41,Female,43.8,1.77,165,1.19, 884 ,Cardio,1.6,3,13.98
47,Female,66.8,1.75,146,1.13, 742 ,Strength,2.5,3,21.81
55,Female,75.2,1.67,167,1.37," 1,030 ",HIIT,2.2,2,26.96
19,Male,89,1.77,127,1.5," 1,048 ",Strength,3.7,4,28.41
38,Male,71.9,1.77,142,1.12, 875 ,Cardio,3.1,2,22.95
50,Female,71,1.68,161,1.17, 848 ,Yoga,2.5,2,25.16
29,Male,120.9,1.78,168,0.78, 721 ,Yoga,3.4,2,38.16
39,Female,64.3,1.69,148,1.25, 925 ,HIIT,1.9,4,22.51
42,Female,63.7,1.71,169,1.42," 1,080 ",Yoga,1.8,3,21.78
44,Male,65.2,1.8,139,0.73, 502 ,HIIT,2.7,2,20.12
59,Male,53.9,1.75,135,1.48, 989 ,Strength,2.8,4,17.6
45,Male,84.9,1.86,136,1.64," 1,104 ",HIIT,3.5,5,24.54
33,Female,78,1.68,135,1.29, 871 ,HIIT,1.8,3,27.64
32,Male,108.2,1.8,138,1.27, 964 ,HIIT,3.5,3,33.4
20,Female,65.4,1.52,127,1.03, 654 ,Yoga,2.2,4,28.31
54,Female,50.2,1.61,157,1.48," 1,046 ",HIIT,2.7,2,19.37
24,Female,58.9,1.51,157,1.04, 816 ,Cardio,2.5,2,25.83
38,Male,81.4,1.71,148,1.52," 1,237 ",HIIT,3.5,5,27.84
26,Male,127.6,1.73,160,1.32," 1,162 ",Strength,2.9,3,42.63
56,Female,59.3,1.56,155,1.26, 879 ,Cardio,2.6,4,24.37
35,Male,96.9,1.71,145,1.34," 1,069 ",Strength,2.9,3,33.14
21,Male,62.6,1.81,150,1.3," 1,072 ",Strength,3.5,4,19.11
42,Male,45.5,1.6,163,1.31," 1,057 ",Strength,2.6,3,17.77
31,Female,48.8,1.51,131,1.48, 969 ,Cardio,2,2,21.4
26,Female,44.3,1.6,136,1.08, 734 ,Cardio,2,3,17.3
43,Male,113.2,1.83,134,1.45, 962 ,Yoga,2.9,4,33.8
